epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.995,6.24602,4.95818,4.15203,0.00696,0.01066,0.00189,0.00052,0,0,2834,5.41067,3.68501,3.83676,0.0700815,0.00332428,0.00332428
2,1012.93,4.56345,3.76758,3.14449,0.22119,0.05378,0.02368,0.00618,0.00035,9e-05,2834,4.13088,3.09246,2.66279,0.0400376,0.00661367,0.00661367
3,1427.27,3.48904,2.65624,2.26283,0.58926,0.08192,0.05818,0.02038,0.00276,0.0007,2834,3.30084,2.83037,2.15321,0.00994964,0.00985906,0.00985906
4,1835.6,2.80042,2.13413,1.86826,0.38461,0.14232,0.12845,0.05448,0.00837,0.00201,2834,2.43656,1.75527,1.722,0.009802,0.009802,0.009802
5,2197.87,2.43659,1.83014,1.67239,0.5133,0.21366,0.20222,0.09533,0.01332,0.00399,2834,2.23558,1.5738,1.61432,0.009736,0.009736,0.009736
6,2476.43,2.22953,1.6083,1.55542,0.52087,0.25625,0.23932,0.11526,0.01416,0.00397,2834,2.06489,1.43479,1.50311,0.00967,0.00967,0.00967
7,2751.02,2.10698,1.46536,1.48431,0.49026,0.25243,0.23194,0.10831,0.0133,0.00432,2834,2.0817,1.41832,1.49524,0.009604,0.009604,0.009604
8,3020.46,2.01307,1.35877,1.43525,0.5611,0.27523,0.28242,0.14137,0.02454,0.00689,2834,1.92885,1.28024,1.41924,0.009538,0.009538,0.009538
9,3267.96,1.92795,1.28137,1.39627,0.58087,0.31685,0.31313,0.15618,0.02552,0.00775,2834,1.82055,1.17238,1.37028,0.009472,0.009472,0.009472
10,3516.05,1.88546,1.21317,1.36186,0.4758,0.33337,0.32378,0.15737,0.02465,0.00792,2834,1.82978,1.32892,1.37508,0.009406,0.009406,0.009406
11,3769.42,1.82326,1.15994,1.33541,0.56776,0.35447,0.3749,0.19412,0.02847,0.00827,2834,1.72696,1.07148,1.31798,0.00934,0.00934,0.00934
12,4021.88,1.7772,1.11458,1.30971,0.5872,0.34467,0.3655,0.1958,0.02926,0.00839,2834,1.67446,1.05427,1.29958,0.009274,0.009274,0.009274
13,4277.11,1.72856,1.07746,1.28883,0.57294,0.38587,0.40875,0.22422,0.03432,0.01026,2834,1.64983,1.03982,1.28314,0.009208,0.009208,0.009208
